Number,Asset,Country,RegionForLag,class,sampleClose,carry,weight,commission,quotecurrency,riskcurr,minicontract,pointvalue,margin,yFinanceTicker
1,SP,US,America,Future,,InterestRate1m,0.058823529,5,USD,USD,ES,50,12650,^GSPC
2,XP,AU,Asia,Future,,InterestRate1m,0.058823529,25,AUD,USD,,25,13484,
3,Z_,GB,Europe,Future,,InterestRate1m,0.058823529,25,GBP,USD,,10,6747,
4,HI,HK,Asia,Future,,InterestRate1m,0.058823529,25,HKD,USD,,50,124222,
5,NK,JP,Asia,Future,,InterestRate1m,0.058823529,12.5,JPY,USD,NI,500,341000,
6,CF,FR,Europe,Future,,InterestRate1m,0.058823529,25,EUR,USD,,10,0,
7,TP,JP,Asia,Future,,InterestRate1m,0.058823529,25,JPY,USD,,10000,780000,
8,AI,ZA,Europe,Future,,InterestRate1m,0.058823529,25,ZAR,USD,,10,50701,
9,SM,CH,Europe,Future,,InterestRate1m,0.058823529,25,CHF,USD,,10,7298,
10,GX,DE,Europe,Future,,InterestRate1m,0.058823529,25,EUR,USD,,25,30963,
11,EO,NL,America,Future,,InterestRate1m,0.058823529,25,EUR,USD,,200,0,
12,QC,SE,Europe,Future,,InterestRate1m,0.058823529,25,SEK,USD,,100,0,
13,RL,US,America,Future,,InterestRate1m,0.058823529,2.5,USD,USD,RTA,50,3575,
14,ST,IT,Europe,Future,,InterestRate1m,0.058823529,25,EUR,USD,,5,18461,
15,ND,US,America,Future,,InterestRate1m,0.058823529,5,USD,USD,NQ,20,18700,
16,PT,CA,America,Future,,InterestRate1m,0.058823529,25,CAD,USD,,200,11908,
17,VG,DE,Europe,Future,,InterestRate1m,0.058823529,25,EUR,USD,,10,3175,
