Number,Asset,Base,Term,RegionForLag,class,sampleClose,carry,weight,commission,riskcurr,quotecurrency,baseDollar,termDollar
1,AUDUSD,AUD,USD,America,FX,NA,InterestRate1m,1,0.0002,AUD,USD,AUDUSD,USDUSD
2,EURUSD,EUR,USD,America,FX,NA,InterestRate1m,1,0.0002,EUR,USD,EURUSD,USDUSD
3,GBPUSD,GBP,USD,America,FX,NA,InterestRate1m,1,0.0002,GBP,USD,GBPUSD,USDUSD
4,NZDUSD,NZD,USD,Asia,FX,NA,InterestRate1m,1,0.0003,NZD,USD,NZDUSD,USDUSD
5,USDCAD,USD,CAD,America,FX,NA,InterestRate1m,1,0.00025,USD,CAD,USDUSD,USDCAD
6,USDJPY,USD,JPY,America,FX,NA,InterestRate1m,1,0.0002,USD,JPY,USDUSD,USDJPY
7,USDCHF,USD,CHF,America,FX,NA,InterestRate1m,1,0.0002,USD,CHF,USDUSD,USDCHF
8,USDSEK,USD,SEK,Europe,FX,NA,InterestRate1m,1,0.0003,USD,SEK,USDUSD,USDSEK
9,USDNOK,USD,NOK,Europe,FX,NA,InterestRate1m,1,0.0003,USD,NOK,USDUSD,USDNOK
10,USDCNH,USD,CNH,Asia,FX,NA,InterestRate1m,1,0.00035,USD,CNH,USDUSD,USDCNH
